x,y,z,label
526012.283,4694132.542,3.747,0.0
526010.916,4694132.293,5.236,0.0
526011.005,4694132.314,7.084,0.0
526010.218,4694132.599,8.281,0.0
526010.187,4694132.841,8.29,0.0
526010.294,4694132.846,8.314,0.0
526010.502,4694132.289,8.45,0.0
526010.462,4694132.44,8.588,0.0
526010.257,4694132.005,8.663,0.0
526012.883,4694129.377,8.855,0.0
526010.255,4694131.892,9.137,0.0
526010.0,4694131.967,9.293,0.0
526009.537,4694131.683,9.377,0.0
526010.083,4694132.299,9.378,0.0
526009.482,4694131.747,9.394,0.0
526010.058,4694132.029,9.429,0.0
526009.805,4694131.997,9.433,0.0
526009.584,4694131.997,9.443,0.0
526009.805,4694132.201,9.462,0.0
526009.819,4694132.333,9.623,0.0
526009.954,4694132.6,9.71,0.0
526012.926,4694132.595,9.765,0.0
526009.266,4694133.63,10.367,0.0
526013.041,4694131.583,10.416,0.0
526009.037,4694133.708,10.463,0.0
526013.148,4694131.25,10.522,0.0
526013.271,4694130.414,10.621,0.0
526008.94,4694133.348,10.677,0.0
526013.646,4694130.431,10.706,0.0
526013.579,4694130.593,10.73,0.0
526012.714,4694130.012,10.788,0.0
526009.273,4694133.287,10.8,0.0
526009.224,4694133.257,10.809,0.0
526009.759,4694132.84,10.826,0.0
526009.953,4694131.66,10.831,0.0
526009.489,4694132.868,10.842,0.0
526013.595,4694130.779,10.848,0.0
526012.842,4694131.628,10.85,0.0
526009.524,4694132.735,10.872,0.0
526009.351,4694133.01,10.873,0.0
526009.665,4694133.126,10.88,0.0
526009.701,4694132.978,10.895,0.0
526012.931,4694130.018,10.925,0.0
526012.848,4694129.738,10.929,0.0
526012.773,4694131.98,11.067,0.0
526013.207,4694130.058,11.121,0.0
526013.105,4694131.924,11.128,0.0
526012.929,4694132.297,11.142,0.0
526012.977,4694129.826,11.144,0.0
526013.145,4694129.84,11.161,0.0
526013.056,4694129.633,11.165,0.0
526012.749,4694132.282,11.168,0.0
526009.046,4694132.997,11.193,0.0
526012.884,4694132.044,11.218,0.0
526013.399,4694130.083,11.236,0.0
526013.408,4694129.824,11.264,0.0
526013.298,4694129.67,11.284,0.0
526009.128,4694133.181,11.31,0.0
526009.255,4694132.661,11.336,0.0
526014.706,4694131.412,11.424,0.0
526012.024,4694132.643,11.515,0.0
526011.636,4694132.463,11.534,0.0
526011.841,4694132.359,11.552,0.0
526013.932,4694130.607,11.561,0.0
526013.956,4694130.834,11.601,0.0
526011.498,4694132.271,11.625,0.0
526011.47,4694132.229,11.629,0.0
526011.912,4694132.684,11.659,0.0
526014.089,4694130.583,11.67,0.0
526014.476,4694130.68,11.714,0.0
526014.394,4694132.216,11.732,0.0
526013.05,4694130.426,11.74,0.0
526011.679,4694132.564,11.74,0.0
526014.738,4694131.72,11.829,0.0
526014.57,4694131.88,11.832,0.0
526013.265,4694130.915,11.834,0.0
526014.41,4694130.77,11.875,0.0
526014.267,4694131.233,11.949,0.0
526013.288,4694130.682,11.951,0.0
526014.512,4694130.718,11.956,0.0
526014.289,4694131.785,11.984,0.0
526014.004,4694131.602,12.109,0.0
526014.884,4694131.649,12.133,0.0
526015.036,4694131.595,12.183,0.0
526013.377,4694131.201,12.187,0.0
